mirna_id	AS035_CD4_200_SV	OBB4633_CD14_400_SV	OBB4633_CD4_200	OBB4633_CD4_200_SV	OBB3073_CD14_150ng	OBB3073_CD14_200ng	OBB3073_CD14_250ng	OBB3073_CD14_300ng	OBB3073_CD4_150ng	OBB3073_CD4_200ng	OBB3073_CD4_250ng	OBB3073_CD4_300ng	OBB2657_CD4_150ng	OBB2657_CD4_200ng	OBB2657_CD4_250ng	OBB2657_CD4_300ng
hsa-miR-122-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-3p	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0
hsa-miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	1	11	0	1	12	28	9	14	2	3	4	4	0	1	0	1
hsa-miR-1226-5p	0	1	0	0	2	2	1	0	0	0	1	1	0	0	0	1
hsa-miR-1227-3p	0	1	0	1	4	12	2	4	1	0	0	1	1	0	1	0
hsa-miR-1227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	0	2	0	0	5	2	1	1	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	0	3	0	0	4	9	3	7	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	1	1	1	0	2	7	1	3	1	1	0	1	1	0	1	1
hsa-miR-1229-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	1	1	3	0	2	3	2	2	2	2	2	4	0	1	1	3
hsa-miR-1236-3p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1236-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1237-3p	1	2	0	0	5	5	2	1	0	0	0	0	1	0	0	0
hsa-miR-1237-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	0	8	0	4	7	13	4	6	1	3	3	2	2	1	4	2
hsa-miR-1247-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1248	1111	282	589	494	343	579	172	297	302	914	644	713	548	720	364	499
hsa-miR-1249	11	370	8	11	494	742	291	441	31	18	23	17	8	7	13	11
hsa-miR-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	0	19	0	0	13	26	7	15	1	1	0	0	0	0	0	0
hsa-miR-1251-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1255a	4	30	5	8	108	251	62	120	17	25	19	23	5	8	12	10
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-3p	7	4	14	12	3	10	1	3	24	31	32	26	15	12	17	19
hsa-miR-125a-5p	9779	502	11594	13190	292	451	138	291	20439	17576	15753	19830	11612	10377	17461	14886
hsa-miR-125b-1-3p	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-125b-2-3p	17	5	13	13	1	4	1	0	28	21	19	28	13	6	16	14
hsa-miR-125b-5p	2	0	2	2	0	1	0	0	1	3	2	1	1	1	1	1
hsa-miR-126-3p	244	5809	163	160	1693	3405	1347	2315	243	246	261	356	96	116	193	266
hsa-miR-126-5p	16	459	8	7	85	135	62	97	11	11	7	13	8	4	11	10
hsa-miR-1260a	18	74	31	27	74	134	47	82	49	33	39	52	21	30	30	48
hsa-miR-1260b	7	88	14	10	87	166	58	96	18	18	16	26	12	13	15	20
hsa-miR-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	0	14	0	0	27	36	11	14	0	0	0	0	0	0	0	0
hsa-miR-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1268a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1268b	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-1269a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1269b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-127-3p	11	98	5	3	5	10	7	8	11	10	16	6	4	2	2	7
hsa-miR-127-5p	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-5p	3	4	6	7	2	4	0	0	6	8	8	10	4	2	7	4
hsa-miR-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273h-3p	4	16	1	6	19	41	7	15	7	5	6	9	5	4	4	5
hsa-miR-1273h-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1275	1	0	0	0	0	1	0	0	2	1	1	2	2	2	0	3
hsa-miR-1276	0	0	0	0	1	3	1	1	1	1	1	1	1	0	3	4
hsa-miR-1277-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1278	26	95	29	21	71	169	74	116	47	37	45	62	17	25	36	59
hsa-miR-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	8	16	6	6	7	15	8	11	7	8	8	7	10	6	14	10
hsa-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	453	4219	485	444	5465	11925	3993	6852	891	832	814	905	312	347	483	639
hsa-miR-1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1282	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0
hsa-miR-1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1284	3	44	2	1	66	116	29	62	7	7	3	9	3	9	4	3
hsa-miR-1285-3p	1	5	1	1	3	5	3	7	0	1	3	0	0	1	0	0
hsa-miR-1285-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1287-3p	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1
hsa-miR-1287-5p	13	29	19	14	21	31	8	24	28	18	27	29	11	14	25	14
hsa-miR-1288-3p	0	1	2	2	3	5	0	2	2	1	3	0	0	1	2	2
hsa-miR-1288-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1291	137	95	136	134	126	151	47	91	82	120	87	113	103	111	159	142
hsa-miR-1292-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1292-5p	11	41	30	51	52	110	22	59	48	42	31	29	21	21	43	44
hsa-miR-1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1294	1	8	2	4	17	19	6	12	3	2	3	2	1	0	1	2
hsa-miR-1295a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1296-5p	1	30	1	3	12	21	7	13	0	1	1	1	1	2	2	1
hsa-miR-1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-3p	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
hsa-miR-1298-5p	2	39	1	0	17	40	13	25	2	3	4	4	2	2	1	3
hsa-miR-1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1301-3p	61	201	92	103	342	618	173	281	154	125	112	155	122	117	179	185
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-5p	6	19	6	6	33	92	30	41	14	7	4	9	4	7	12	8
hsa-miR-1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1306-3p	2	14	3	3	18	39	10	22	2	2	4	4	1	2	6	5
hsa-miR-1306-5p	8	51	8	10	59	95	28	48	11	13	18	18	15	13	21	13
hsa-miR-1307-3p	542	3542	444	423	7782	16842	5155	9182	1384	1403	1361	1852	593	681	910	1412
hsa-miR-1307-5p	438	1782	257	318	644	776	339	654	551	311	357	419	389	289	896	415
hsa-miR-130a-3p	13	248	12	13	29	46	19	39	7	4	2	5	15	11	30	22
hsa-miR-130a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-130b-3p	18	133	16	26	55	71	26	45	18	20	13	17	22	21	39	43
hsa-miR-130b-5p	106	1309	101	106	3098	5234	1496	2693	267	208	159	208	141	99	181	166
hsa-miR-132-3p	35	57	36	45	24	54	19	28	30	35	38	49	28	29	81	81
hsa-miR-132-5p	36	16	18	26	20	35	17	19	36	31	55	62	31	37	43	117
hsa-miR-1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-5p	2	18	0	0	4	5	1	4	4	2	0	3	0	0	1	1
hsa-miR-1343-3p	2	11	4	4	38	64	15	33	5	5	8	6	1	1	3	5
hsa-miR-1343-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-5p	4	0	4	4	0	1	0	0	3	6	6	5	3	4	5	17
hsa-miR-136-3p	4	32	1	2	1	12	2	2	1	4	1	2	1	1	0	0
hsa-miR-136-5p	4	14	1	1	0	2	1	1	1	1	2	2	0	0	1	1
hsa-miR-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-5p	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-139-3p	0	8	0	0	4	11	2	3	2	1	0	3	0	1	3	2
hsa-miR-139-5p	8	60	10	10	25	38	12	34	9	15	14	13	8	7	9	19
hsa-miR-140-3p	15792	20057	18896	18641	12451	22788	8581	15022	20135	17743	20458	26883	14612	16441	29188	30494
hsa-miR-140-5p	2863	7240	2625	2418	5639	10825	4286	7148	2296	2841	2875	3424	1907	2074	3156	4145
hsa-miR-141-3p	90	34	102	113	11	11	4	8	53	46	52	80	87	75	177	189
hsa-miR-141-5p	1	1	1	2	2	2	1	3	2	1	2	2	0	1	2	3
hsa-miR-142-3p	54870	51481	43766	45308	23798	41081	17266	28163	28422	40234	40237	47189	33511	34196	57344	73222
hsa-miR-142-5p	172832	57372	123650	130444	20705	36785	14572	26190	131168	106516	142690	178555	120052	122546	213381	225647
hsa-miR-143-3p	129	2981	49	54	2149	5161	1657	2874	126	103	125	177	34	42	69	87
hsa-miR-143-5p	0	4	0	0	4	3	2	5	0	1	0	0	0	0	0	0
hsa-miR-144-3p	8	38	5	7	6	7	4	2	7	7	8	4	4	2	7	10
hsa-miR-144-5p	2	17	2	1	5	6	1	3	0	2	1	2	1	1	2	3
hsa-miR-145-3p	2	33	0	1	40	54	23	35	1	2	1	3	1	0	0	0
hsa-miR-145-5p	2	63	0	0	14	51	21	39	1	1	3	2	1	0	1	0
hsa-miR-1468-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	22	5	37	44	18	33	5	13	76	44	56	64	39	41	63	48
hsa-miR-1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	2	23	27	25	0	0	0	0	2	0	0	0	0	1	0	0
hsa-miR-146a-5p	8284	912	11520	12509	1416	2319	654	1031	14120	14835	12096	13177	13063	11253	13286	11832
hsa-miR-146b-3p	148	23	368	393	19	22	8	19	323	294	297	399	221	250	417	467
hsa-miR-146b-5p	153450	13981	243364	269210	10971	24594	7563	13685	223428	216605	208632	253897	157660	160288	301772	296442
hsa-miR-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147b	3	11	2	2	5	14	6	10	4	2	0	2	3	1	3	5
hsa-miR-148a-3p	25078	38237	18471	18205	17030	36031	13104	23611	18006	17593	20359	25773	11870	13354	23010	31480
hsa-miR-148a-5p	87	98	69	70	58	111	46	84	78	65	90	95	60	66	105	129
hsa-miR-148b-3p	1326	9150	1505	1399	4931	10281	3889	7033	1871	1678	2006	2579	1012	1097	1990	1797
hsa-miR-148b-5p	166	636	145	170	238	493	178	286	204	173	194	225	127	144	272	260
hsa-miR-149-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-149-5p	1	2	1	1	2	7	5	1	0	3	4	2	2	2	5	3
hsa-miR-150-3p	819	2	1088	1337	5	11	5	8	2350	1622	1599	1974	1609	1679	2411	2558
hsa-miR-150-5p	107152	1031	190278	242303	683	1067	363	678	178594	169454	169674	217822	153674	152219	244115	255650
hsa-miR-151a-3p	3706	7154	5835	5682	3139	6164	2109	3980	4150	4357	4536	6031	2986	3582	5399	7325
hsa-miR-151a-5p	1	3	0	0	0	1	1	0	1	0	0	0	0	0	1	1
hsa-miR-151b	83	32	261	389	29	17	6	10	276	98	130	98	281	155	394	264
hsa-miR-152-3p	32	493	45	48	317	557	172	297	87	70	73	97	25	22	48	30
hsa-miR-152-5p	0	14	0	0	8	19	7	6	1	1	0	1	0	0	1	0
hsa-miR-153-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-153-5p	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-1537-3p	8	108	2	3	25	21	10	13	1	1	0	0	1	2	4	0
hsa-miR-1537-5p	0	8	0	0	4	5	1	4	0	0	0	0	0	0	0	0
hsa-miR-1538	0	8	1	1	15	24	4	13	2	1	1	3	3	1	1	2
hsa-miR-1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-155-3p	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1
hsa-miR-155-5p	4771	4810	5852	6591	5304	9197	2684	4987	9495	9071	7431	8714	7686	6983	13001	12913
hsa-miR-1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-15a-3p	2	28	1	2	8	9	3	7	0	1	1	1	0	0	3	2
hsa-miR-15a-5p	232	3234	143	167	1068	1565	609	1051	108	145	123	117	121	95	223	161
hsa-miR-15b-3p	87	463	130	114	525	925	325	607	132	146	161	207	109	115	179	201
hsa-miR-15b-5p	207	1862	451	379	1187	2134	783	1479	324	343	364	550	282	271	507	541
hsa-miR-16-1-3p	37	134	15	17	93	168	68	126	24	25	25	27	19	17	54	41
hsa-miR-16-2-3p	2164	2775	1740	1837	4185	8155	2581	4545	3255	2895	2963	3359	2532	2464	3441	3551
hsa-miR-16-5p	1190	9114	1078	1151	3205	4632	1864	3268	588	642	576	662	562	449	1129	814
hsa-miR-17-3p	311	840	281	379	226	314	118	214	151	137	139	166	226	159	422	287
hsa-miR-17-5p	1536	5793	1743	1504	2547	4486	1821	3102	799	1140	1132	1327	912	928	1869	1957
hsa-miR-181a-2-3p	231	704	350	334	887	1384	454	819	317	218	246	327	225	213	373	363
hsa-miR-181a-3p	340	2292	431	397	794	1562	602	1035	397	300	400	505	344	385	639	654
hsa-miR-181a-5p	0	6	4	1	2	2	1	1	1	1	1	0	1	1	3	2
hsa-miR-181b-3p	6	40	6	3	14	20	10	11	5	4	4	9	7	4	4	10
hsa-miR-181b-5p	27	170	52	38	95	110	40	68	21	24	17	19	23	12	37	23
hsa-miR-181c-3p	9	68	10	7	41	67	34	49	19	19	20	34	11	8	23	18
hsa-miR-181c-5p	150	562	98	146	91	96	49	63	126	78	71	79	111	73	259	151
hsa-miR-181d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181d-5p	72	238	72	68	102	191	66	129	112	100	90	103	73	58	153	119
hsa-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-182-5p	7	18	10	10	10	11	5	8	14	15	9	16	12	7	13	15
hsa-miR-1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-183-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-183-5p	3	4	2	3	6	14	3	7	11	14	10	9	5	5	9	12
hsa-miR-184	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
