mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-1204	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-1225-3p	1	0	0	2	0	0	1	5	3	0	0	0	1
hsa-miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	1	4	1	3	2	1	1	0	3	0	0	7	3
hsa-miR-1226-5p	3	0	3	2	1	1	1	0	0	0	0	4	0
hsa-miR-1227-3p	0	1	0	1	2	5	0	3	1	0	0	1	0
hsa-miR-1227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	2	0	3	0	0	0	0	1	1	1	0	2	3
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1231	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	0	0	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-1236-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1236-5p	0	0	0	0	0	0	1	1	0	0	0	0	1
hsa-miR-1237-3p	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1238-3p	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1243	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	11	13	15	11	11	3	2	10	8	0	0	28	5
hsa-miR-1247-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-1248	224	93	97	147	75	212	199	687	110	88	0	40	151
hsa-miR-1249	10	8	7	4	9	6	2	26	3	0	0	6	8
hsa-miR-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	0	0	1	2	4	0	0	0	0	0	0	0	0
hsa-miR-1251-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1253	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254	0	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-1255a	0	0	5	20	19	0	0	0	0	1	0	8	19
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1257	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1258	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-3p	1	4	6	11	2	7	0	33	28	5	0	7	7
hsa-miR-125a-5p	71	877	1905	3629	379	4410	869	12519	4449	2951	57	1120	6168
hsa-miR-125b-1-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-125b-2-3p	0	0	1	1	1	4	0	1	0	0	0	2	3
hsa-miR-125b-5p	0	0	1	0	0	3	0	1	0	0	0	0	0
hsa-miR-126-3p	2	11	21	60	28	9	0	30	50	5	1	31	35
hsa-miR-126-5p	0	1	0	1	0	0	0	1	1	0	0	2	1
hsa-miR-1260a	5	7	16	12	4	43	3	72	14	8	0	11	14
hsa-miR-1260b	3	2	8	10	2	4	0	21	8	2	0	1	7
hsa-miR-1261	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-1263	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1267	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1268a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1268b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1269a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1269b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-127-3p	0	0	2	4	0	0	0	3	38	0	0	18	6
hsa-miR-127-5p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-1270	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-5p	0	4	3	5	0	4	0	5	1	0	0	3	0
hsa-miR-1272	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273d	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273h-3p	0	5	5	2	1	2	0	5	2	2	0	7	7
hsa-miR-1273h-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1275	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-1276	0	4	2	3	2	1	0	4	0	0	0	3	1
hsa-miR-1277-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1278	3	41	33	12	21	3	3	5	5	5	0	2	19
hsa-miR-1279	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	1	6	8	7	3	0	2	10	0	2	0	15	1
hsa-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	43	438	658	507	440	173	29	199	125	81	7	355	368
hsa-miR-1281	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1282	0	0	0	1	1	0	0	1	0	0	0	0	0
hsa-miR-1283	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1284	0	5	3	1	2	2	0	1	1	0	0	9	1
hsa-miR-1285-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1285-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1286	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1287-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1287-5p	3	14	6	5	4	1	2	4	8	3	0	7	6
hsa-miR-1288-3p	0	3	4	0	2	0	0	0	0	0	0	2	1
hsa-miR-1288-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1289	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-1-3p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-129-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1290	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1291	35	63	57	51	28	87	89	232	105	38	0	55	81
hsa-miR-1292-3p	0	0	0	4	1	0	0	1	0	0	0	1	0
hsa-miR-1292-5p	9	12	38	80	51	21	11	60	20	11	0	42	24
hsa-miR-1293	0	0	2	5	3	0	0	1	1	0	0	3	0
hsa-miR-1294	2	3	5	7	4	0	1	2	0	0	0	6	5
hsa-miR-1295a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1296-5p	0	1	0	2	3	0	0	1	0	1	0	0	0
hsa-miR-1297	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1299	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1301-3p	29	163	241	201	77	71	64	242	249	69	2	678	130
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1303	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-3p	2	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1304-5p	3	21	31	53	29	8	0	11	10	0	0	28	4
hsa-miR-1305	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1306-3p	1	9	15	10	5	0	0	8	4	1	0	8	3
hsa-miR-1306-5p	11	9	7	9	11	7	1	24	7	3	0	9	8
hsa-miR-1307-3p	462	2017	3754	4083	3333	538	243	1780	1598	246	13	2720	706
hsa-miR-1307-5p	1	45	22	12	10	1	1	8	12	1	0	15	24
hsa-miR-130a-3p	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-130a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-130b-3p	5	19	20	15	27	2	0	5	6	3	0	10	7
hsa-miR-130b-5p	104	516	594	713	750	38	23	135	256	41	0	519	75
hsa-miR-132-3p	22	57	53	75	80	71	22	109	42	33	1	143	124
hsa-miR-132-5p	135	228	322	350	388	373	101	405	274	316	3	451	965
hsa-miR-1321	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1322	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1323	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1324	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-134-5p	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-1343-3p	1	3	2	3	4	1	1	2	8	0	0	14	4
hsa-miR-1343-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135a-3p	0	0	0	1	0	0	0	2	0	1	0	0	0
hsa-miR-135a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-5p	0	12	8	0	5	0	1	5	1	3	0	7	5
hsa-miR-136-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-136-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-137	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-139-3p	0	0	2	3	1	3	2	5	4	2	0	10	3
hsa-miR-139-5p	0	1	3	1	1	8	0	9	3	0	0	6	10
hsa-miR-140-3p	130	4265	3945	3788	1416	3963	675	10669	3816	2309	67	2132	10992
hsa-miR-140-5p	21	1132	633	196	377	275	76	564	268	284	5	223	1161
hsa-miR-141-3p	0	10	1	4	0	2	2	8	4	3	0	2	17
hsa-miR-141-5p	0	1	0	1	0	1	0	3	1	0	0	0	0
hsa-miR-142-3p	163	8275	3010	644	2061	2384	822	3610	1404	1777	43	1157	8241
hsa-miR-142-5p	375	15898	7276	6293	2595	7052	1723	16692	5822	7056	171	2944	36518
hsa-miR-143-3p	0	1	0	1	0	0	0	10	24	0	0	40	13
hsa-miR-143-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-144-3p	0	4	0	0	1	0	0	0	2	0	0	5	2
hsa-miR-144-5p	0	0	0	0	0	0	1	0	3	1	0	0	1
hsa-miR-145-3p	0	0	0	0	0	0	0	0	0	0	0	5	1
hsa-miR-145-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	2	6	21	22	3	26	4	65	15	11	0	3	58
hsa-miR-1469	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	2	68	82	8	1	3	2	28	17	16	0	6	31
hsa-miR-146a-5p	1613	7395	12270	7716	11029	3569	3656	20379	21662	15661	249	24351	27477
hsa-miR-146b-3p	3	26	53	128	40	102	11	419	142	24	0	70	178
hsa-miR-146b-5p	1769	18924	46908	69897	39828	29295	6474	108839	46587	21966	593	38834	146776
hsa-miR-1470	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1471	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147b	0	2	0	1	1	1	1	4	0	0	0	0	1
hsa-miR-148a-3p	190	7721	5812	2601	2641	1883	783	3096	2258	2260	74	3963	7641
hsa-miR-148a-5p	3	23	45	62	44	7	4	29	20	9	0	26	32
hsa-miR-148b-3p	22	935	427	157	151	160	105	359	286	160	6	350	640
hsa-miR-148b-5p	7	106	74	23	21	21	9	52	28	17	0	28	116
hsa-miR-149-3p	1	0	0	6	1	0	0	0	0	1	0	2	0
hsa-miR-149-5p	1	2	5	7	16	1	0	0	0	0	0	10	0
hsa-miR-150-3p	91	230	771	433	350	481	140	879	590	211	6	318	579
hsa-miR-150-5p	3903	9811	19371	35940	5040	62377	6426	208537	24717	11073	155	4643	53088
hsa-miR-151a-3p	5	117	446	1236	97	951	105	2174	507	343	10	569	1808
hsa-miR-151a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-151b	0	1	0	2	0	3	0	4	0	0	0	0	9
hsa-miR-152-3p	13	102	84	27	75	5	7	22	33	5	0	116	61
hsa-miR-152-5p	0	0	0	0	0	0	0	0	0	0	0	4	0
hsa-miR-153-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1538	1	3	2	1	2	2	0	2	1	0	0	5	2
hsa-miR-1539	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-155-3p	6	106	65	25	24	29	10	38	20	16	0	2	40
hsa-miR-155-5p	8630	47020	56475	83562	70053	14867	7299	26262	33530	6246	162	24104	18456
hsa-miR-1587	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-15a-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-15a-5p	3	110	48	10	32	10	4	15	21	3	0	15	23
hsa-miR-15b-3p	12	183	59	63	87	12	6	35	22	21	0	38	21
hsa-miR-15b-5p	7	235	67	93	81	43	15	84	21	15	0	25	62
hsa-miR-16-1-3p	5	77	26	2	27	6	1	7	7	6	0	9	41
hsa-miR-16-2-3p	214	2863	1893	1285	1672	411	167	813	635	397	12	674	1309
hsa-miR-16-5p	21	416	137	79	157	44	19	69	34	32	2	83	146
hsa-miR-17-3p	6	58	45	26	30	28	6	28	14	17	4	29	87
hsa-miR-17-5p	99	961	590	615	782	256	204	568	215	276	5	443	686
hsa-miR-181a-2-3p	2	35	24	45	11	50	4	45	12	21	3	201	178
hsa-miR-181a-3p	25	79	166	154	219	94	22	77	45	27	0	126	174
hsa-miR-181a-5p	0	1	1	1	2	2	0	0	2	3	0	1	0
hsa-miR-181b-3p	0	3	1	0	0	1	0	2	1	1	0	1	4
hsa-miR-181b-5p	3	8	20	13	31	5	0	10	3	3	0	8	14
hsa-miR-181c-3p	0	10	2	5	10	0	0	6	11	2	0	18	5
hsa-miR-181c-5p	1	16	2	7	10	7	1	9	9	7	0	5	11
hsa-miR-181d-3p	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-181d-5p	4	55	28	48	70	23	8	88	75	31	3	48	66
hsa-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-182-5p	3	17	17	34	23	0	15	9	10	6	0	80	13
hsa-miR-1825	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1827	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-183-3p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-183-5p	3	17	46	53	30	2	6	14	4	6	0	76	9
hsa-miR-184	1	0	2	9	3	0	1	1	5	6	12	0	5
hsa-miR-185-3p	1	29	14	10	21	2	5	10	13	0	0	19	5
hsa-miR-185-5p	34	1021	659	276	474	115	49	392	243	126	0	323	768
hsa-miR-186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-186-5p	66	3546	1777	912	625	1201	394	2704	1123	1200	20	815	4715
hsa-miR-187-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-188-5p	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-18a-3p	20	73	77	73	100	17	3	28	28	10	0	22	12
hsa-miR-18a-5p	45	262	194	106	204	96	66	195	111	34	1	102	109
hsa-miR-18b-3p	0	0	4	11	2	0	0	2	0	0	0	0	0
hsa-miR-18b-5p	0	1	3	0	1	0	0	0	0	0	0	3	0
hsa-miR-1908-3p	0	0	0	0	3	0	0	0	0	0	0	1	1
hsa-miR-1908-5p	1	20	35	35	44	5	5	3	5	5	0	34	7
hsa-miR-1909-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1909-5p	0	1	0	1	0	0	0	0	0	0	0	2	1
hsa-miR-190a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190b	3	14	8	7	9	14	4	19	15	7	0	17	34
hsa-miR-191-3p	2	6	13	39	20	3	0	5	3	0	0	9	6
hsa-miR-191-5p	1483	10618	10230	8678	8793	3762	872	9166	4065	1996	49	8695	7667
hsa-miR-1910-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1910-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1912	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1913	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-5p	0	0	1	3	1	0	0	0	0	0	0	0	0
hsa-miR-1915-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-3p	0	1	0	2	0	0	0	3	0	1	0	1	0
hsa-miR-192-5p	38	1605	1322	1071	312	1276	334	3168	1380	995	39	725	4802
hsa-miR-193a-3p	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-193a-5p	2	8	20	25	12	18	15	46	29	20	0	24	22
hsa-miR-193b-3p	0	0	2	1	2	1	0	5	2	0	0	5	3
hsa-miR-193b-5p	5	1	6	8	6	12	3	18	23	7	0	20	10
hsa-miR-194-3p	0	1	0	1	0	1	0	1	2	0	0	3	1
hsa-miR-194-5p	2	108	53	29	12	56	16	126	44	64	0	19	199
hsa-miR-195-3p	0	2	4	9	8	1	1	7	0	2	0	2	4
hsa-miR-195-5p	1	3	4	3	2	1	0	8	0	4	0	0	5
hsa-miR-196a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196a-5p	5	23	3	0	5	0	2	4	6	0	0	54	5
hsa-miR-196b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196b-5p	0	1	0	2	1	2	0	0	0	0	0	0	0
hsa-miR-197-3p	250	317	301	438	279	446	71	1110	167	43	0	200	275
hsa-miR-197-5p	0	5	18	9	8	3	1	9	13	7	0	15	1
hsa-miR-1972	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1973	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1976	5	25	40	36	14	24	5	74	36	11	0	22	28
hsa-miR-198	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199b-5p	0	7	0	8	0	10	3	31	11	9	0	3	56
hsa-miR-19a-3p	6	249	69	26	77	19	5	46	29	58	3	49	147
hsa-miR-19a-5p	28	53	31	28	26	39	36	54	12	14	0	20	20
